date_wh_receive,forecasted_wh_received_items_dow
2022-05-01,48447.52401270693
2022-05-02,59375.273809130675
2022-05-03,109774.88757384593
2022-05-04,104523.98005165803
2022-05-05,76527.39539043701
2022-05-06,67479.98659477152
2022-05-07,49560.46494376176
2022-05-08,72891.21559082615
2022-05-09,89458.89593048039
2022-05-10,117084.51268028698
2022-05-11,85983.1676141241
2022-05-12,75199.16141888392
2022-05-13,67615.39084514872
2022-05-14,46759.40681739562
2022-05-15,43035.421749155765
2022-05-16,77243.15944957186
2022-05-17,107347.16433950717
2022-05-18,94021.4728957701
2022-05-19,80935.99913065019
2022-05-20,70026.94878864185
2022-05-21,51654.98592027891
2022-05-22,38775.16671286832
2022-05-23,72229.71525912403
2022-05-24,82079.64327159834
2022-05-25,63883.18163700585
2022-05-26,49206.01643448266
2022-05-27,44483.178774440734
2022-05-28,41410.12916628094
2022-05-29,29284.497569777297
2022-05-30,70980.19512360833
2022-05-31,80577.2168760901
2022-06-01,46213.11981863918
2022-06-02,19150.795325853273
2022-06-03,994.9478114749492
2022-06-04,341.0730256524171
2022-06-05,61.34256537178838
2022-06-06,288.74546405298344
2022-06-07,211.20873362691137
2022-06-08,196.0239277402962
2022-06-09,87.29653012460011
2022-06-10,27.216296004084835
2022-06-11,8.700971201181394
2022-06-12,0.05291532510338303
2022-06-13,6.271922675780084
2022-06-14,2.510692631615993
2022-06-15,0.9173664305236603
2022-06-16,0.8139550932107705
2022-06-17,1.1729394490886342
2022-06-18,0.04041481934213477
2022-06-19,0.0
2022-06-20,0.0
2022-06-21,0.5163845000092602
2022-06-22,0.06261193024698235
