date_wh_receive,forecasted_wh_received_items
2022-05-01,48904.385866666205
2022-05-02,70521.37632446772
2022-05-03,95915.54071465196
2022-05-04,92241.1095538662
2022-05-05,77932.19863083668
2022-05-06,67596.17166997211
2022-05-07,57962.679940287715
2022-05-08,102379.36725168682
2022-05-09,83555.76912568943
2022-05-10,93794.23938438112
2022-05-11,78412.50826071555
2022-05-12,75828.98811071362
2022-05-13,65462.88598851293
2022-05-14,55179.03267153741
2022-05-15,69968.4566885359
2022-05-16,70813.02580750531
2022-05-17,90227.4252464196
2022-05-18,82738.309410924
2022-05-19,81176.69410724628
2022-05-20,68803.13084971966
2022-05-21,60504.73795975907
2022-05-22,68618.67248819133
2022-05-23,62024.9666178131
2022-05-24,66017.5944015492
2022-05-25,56362.73097215716
2022-05-26,50013.416256716024
2022-05-27,44047.212855395504
2022-05-28,47235.68690093566
2022-05-29,52319.73873207037
2022-05-30,64056.581135517925
2022-05-31,66801.15531777256
2022-06-01,37419.70591074764
2022-06-02,22793.576910267395
2022-06-03,5053.474816743757
2022-06-04,1484.1147069980143
2022-06-05,572.321787966516
2022-06-06,270.7704608341553
2022-06-07,199.75771418992483
2022-06-08,111.19233209952243
2022-06-09,60.481568036872055
2022-06-10,34.82094414718493
2022-06-11,19.667121027766036
2022-06-12,9.198839083801253
2022-06-13,3.504267466112457
2022-06-14,0.5209471748914026
2022-06-15,0.10243100213884078
